DateTime,Date,Daytime,Rain_mm,Production_kW,Consumption_kW,Temperature,Irradiance,Haselholz_m,Bidmi_m,Spot_Price_CHF_MWh,Haselholz_mm,Bidmi_mm,Bidmi_Production_kW,Haselholz_Production_kW,Bidmi_Output_mm,Haselholz_Output_mm,Bidmi_Inflow_mm,Haselholz_Inflow_mm,Natural_Inflow_B_mm,Natural_Inflow_H_mm,Network_Exchange_kW,Energy_Trading_CHF,Total_Energy_Cost_CHF,Opt_Production_kW,Opt_Bidmi_Production_kW,Opt_Haselholz_Production_kW,Opt_Bidmi_mm,Opt_Haselholz_mm,Opt_Network_Exchange_kW,Opt_Energy_Trading_CHF,Opt_Target_Bidmi_mm,Opt_Target_Haselholz_mm,Opt_Terminal_Dev_Bidmi_mm,Opt_Terminal_Dev_Haselholz_mm,Opt_Total_Energy_Cost_CHF
2025-02-04 00:00:00,2025-02-04,00:00:00,0.0,218.638,2202.79,1.9,0.0,1.756,1.57,71.772075,1756.0,1570.0,85.40546875,133.23253125,2.1372739927427427,24.4015625,-14.137273992742742,-29.4015625,14.137273992742742,27.264288507257252,1984.152,11.86722551295,90863.62590483722,1897.02564102564,741.0256410256407,1155.9999999999993,1570.0,1756.0,305.76435897436,1.8287785420528906,1712.5666666666666,1991.8666666666666,0.0,0.0,1.8287785420528906
2025-02-04 00:05:00,2025-02-04,00:05:00,0.0,208.671,2193.719,1.9,-0.001,1.763,1.582,71.772075,1763.0,1582.0,81.512109375,127.158890625,2.039842576951952,23.289174107142856,-14.039842576951951,-30.289174107142856,14.039842576951951,28.249331530190904,1985.048,11.87258449455,90875.49848933176,1897.02564102564,741.0256410256407,1155.9999999999993,1565.59308878189,1590.0868619965,296.6933589743601,1.7745248343591413,1712.5666666666666,1991.8666666666666,0.0,0.0,3.6033033764120317
2025-02-04 00:10:00,2025-02-04,00:10:00,0.0,193.836,2236.839,1.911,-0.001,1.772,1.593,71.772075,1772.0,1593.0,75.71718750000001,118.11881250000002,1.894824512012012,21.633482142857144,-12.894824512012011,-30.633482142857144,12.894824512012011,28.73865763084513,2043.003,12.219213711768749,90887.71770304353,1897.02564102564,741.0256410256407,1155.9999999999993,1561.08874614799,1425.15876701593,339.81335897435997,2.0324258238591404,1712.5666666666666,1991.8666666666666,0.0,0.0,5.635729200271172
2025-02-04 00:15:00,2025-02-04,00:15:00,0.0,178.355,2193.781,1.867,0.0,1.784,1.604,71.772075,1784.0,1604.0,69.669921875,108.685078125,1.743491538413413,19.90569196428571,-12.743491538413412,-31.90569196428571,12.743491538413412,30.1622004258723,2015.426,12.054275502412498,90899.77197854592,1897.02564102564,741.0256410256407,1155.9999999999993,1555.43938544915,1260.71999813601,296.75535897436,1.7748956567466405,1712.5666666666666,1991.8666666666666,0.0,0.0,7.410624857017812
2025-02-04 00:20:00,2025-02-04,00:20:00,0.0,168.009,2211.1,1.747,0.0,1.798,1.616,71.772075,1798.0,1616.0,65.62851562499999,102.380484375,1.6423552458708706,18.75100446428571,-13.64235524587087,-32.751004464285714,13.64235524587087,31.10864921841484,2043.091,12.219740040318747,90911.99171858626,1897.02564102564,741.0256410256407,1155.9999999999993,1549.63869177671,1097.70477205113,314.07435897435994,1.8784807039903904,1712.5666666666666,1991.8666666666666,0.0,0.0,9.289105561008203
2025-02-04 00:25:00,2025-02-04,00:25:00,0.0,155.542,2160.742,1.7,0.0,1.815,1.627,71.772075,1815.0,1627.0,60.75859375,94.78340625,1.5204853290790792,17.359598214285715,-12.52048532907908,-34.35959821428571,12.52048532907908,32.83911288520663,2005.2000000000005,11.9931137325,90923.98483231876,1897.02564102564,741.0256410256407,1155.9999999999993,1544.73686181173,935.635994758781,263.7163589743602,1.577289191252892,1712.5666666666666,1991.8666666666666,0.0,0.0,10.866394752261094
2025-02-04 00:30:00,2025-02-04,00:30:00,0.0,146.648,2130.683,1.821,-0.003,1.834,1.639,71.772075,1834.0,1639.0,57.284375,89.363625,1.4335429179179178,16.366964285714285,-13.43354291791792,-35.36696428571429,13.43354291791792,33.93342136779637,1984.035,11.866525735218753,90935.851358054,1413.78395528644,552.2593575337656,861.5245977526744,1538.71316192996,775.297681133228,716.89904471356,4.287777667050831,1712.5666666666666,1991.8666666666666,0.0,0.0,15.154172419311925
2025-02-04 00:35:00,2025-02-04,00:35:00,0.0,135.819,2097.771,1.733,0.0,1.855,1.65,71.772075,1855.0,1650.0,53.05429687499999,82.76470312499998,1.3276851069819815,15.158370535714282,-12.32768510698198,-36.15837053571428,12.32768510698198,34.8306854287323,1961.952,11.7344471742,90947.58580522818,913.783955286439,356.94685753376524,556.8370977526738,1538.32640060529,665.263018876821,1183.9870447135613,7.081433914350838,1712.5666666666666,1991.8666666666666,0.0,0.0,22.235606333662762
2025-02-04 00:40:00,2025-02-04,00:40:00,0.0,128.593,2050.327,1.7,0.0,1.877,1.661,71.772075,1877.0,1661.0,50.231640625,78.36135937499999,1.2570480636886885,14.35189732142857,-12.25704806368869,-36.35189732142857,12.25704806368869,35.09484925773988,1921.734,11.493903064837498,90959.07970829302,413.783955286439,161.63435753376524,252.14959775267374,1541.72148166989,607.041491909721,1636.5430447135614,9.78817417882584,1712.5666666666666,1991.8666666666666,0.0,0.0,32.0237805124886
2025-02-04 00:45:00,2025-02-04,00:45:00,0.0,123.277,1921.315,1.691,0.0,1.9,1.672,71.772075,1900.0,1672.0,48.155078125,75.12192187500001,1.20508203516016,13.75859375,-12.20508203516016,-36.75859375,12.20508203516016,35.55351171483984,1798.038,10.7540765157375,90969.83378480875,349.139775644542,136.38272486114923,212.75705078339277,1549.93362589139,600.0,1572.175224355458,9.403189842965146,1712.5666666666666,1991.8666666666666,0.0,0.0,41.42697035545375
